rank,uid,title,year,venue,url,problem_claimed,actual_mechanism,hidden_assumptions,variables_treated_as_fixed,failure_modes_ignored,what_it_makes_less_novel,what_it_leaves_open
1,doi:10.4271/2023-36-0013,Big Data and Telemetry Data Methodology for Usage Failure Mode Detection,2024,SAE Technical Paper Series,https://doi.org/10.4271/2023-36-0013,Addresses robot data engines or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Data engine failure stratification keeps action-critical alternatives explicit until a physical observation collapses them.
2,arxiv:2512.01946v3,Scaling Cross-Environment Failure Reasoning Data for Vision-Language Robotic Manipulation,2025,arXiv,http://arxiv.org/abs/2512.01946v3,Addresses robot data engines or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Data engine failure stratification keeps action-critical alternatives explicit until a physical observation collapses them.
3,doi:10.1016/j.cie.2021.107350,A new data envelopment analysis-based model for failure mode and effect analysis with heterogeneous information,2021,Computers & Industrial Engineering,https://doi.org/10.1016/j.cie.2021.107350,Addresses robot data engines or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Data engine failure stratification keeps action-critical alternatives explicit until a physical observation collapses them.
4,doi:10.1161/cir.0000000000000460,Correction to: 2016 ACC/AHA/HFSA Focused Update on New Pharmacological Therapy for Heart Failure: An Update of the 2013 ACCF/AHA Guideline for the Management of Heart Failure: A Report of the American College of Cardiology Foundation/American Heart Association Task Force on Clinical Practice Guidelines and the Heart Failure Society of America,2016,Circulation,https://doi.org/10.1161/cir.0000000000000460,Addresses robot data engines or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Data engine failure stratification keeps action-critical alternatives explicit until a physical observation collapses them.
5,doi:10.1201/9781003762584-86,Method for correlation of failure data from durability tests and field of automotive engine parts with spontaneous failure mode,2026,"Safety and Reliability, Volume 2",https://doi.org/10.1201/9781003762584-86,Addresses robot data engines or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Data engine failure stratification keeps action-critical alternatives explicit until a physical observation collapses them.
6,doi:10.3748/wjg.v30.i20.2657,Development and validation of a new prognostic model for patients with acute-on-chronic liver failure in intensive care unit,2024,World Journal of Gastroenterology,https://doi.org/10.3748/wjg.v30.i20.2657,Addresses robot data engines or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Data engine failure stratification keeps action-critical alternatives explicit until a physical observation collapses them.
7,arxiv:2510.09459v2,Failure Prediction at Runtime for Generative Robot Policies,2025,arXiv,http://arxiv.org/abs/2510.09459v2,Addresses robot data engines or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Data engine failure stratification keeps action-critical alternatives explicit until a physical observation collapses them.
8,doi:10.1007/s002689900063,Severity Stratification and Outcome Prediction for Multisystem Organ Failure and Dysfunction,1996,World Journal of Surgery,https://doi.org/10.1007/s002689900063,Addresses robot data engines or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Data engine failure stratification keeps action-critical alternatives explicit until a physical observation collapses them.
9,doi:10.1155/2013/175925,TNM‐Like Classification: A New Proposed Method for Heart Failure Staging,2013,The Scientific World Journal,https://doi.org/10.1155/2013/175925,Addresses robot data engines or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Data engine failure stratification keeps action-critical alternatives explicit until a physical observation collapses them.
10,doi:10.1007/s11897-021-00529-8,SGLT2 Inhibitors and Their Mode of Action in Heart Failure—Has the Mystery Been Unravelled?,2021,Current Heart Failure Reports,https://doi.org/10.1007/s11897-021-00529-8,Addresses robot data engines or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Data engine failure stratification keeps action-critical alternatives explicit until a physical observation collapses them.
